ReviewText,ExpressionType,TrueSentiment,Notes
"I was told the repair would take two days. Three weeks later, I'm still waiting. So speedy!",Sarcasm,Negative,"Sarcasm based on time expectation failure."
"The battery life is unbelievable! It died before I even finished the setup process.",Sarcasm,Negative,"Exclamatory positive word ('unbelievable') used to emphasize poor performance."
"The performance of the customer service is five stars! (It means they charged me twice)",Sarcasm,Negative,"Sarcasm on customer service using positive word 'five stars'."
"They advertised the delivery guy as 'unbreakable'. I managed to shatter it with a feather. it crashes every 5 minutes.",Irony,Negative,"Situational Irony involving the delivery guy and a failed expectation."
"I hate my recent order. It's the worst product I've ever owned. Total waste.",Direct,Negative,"Direct negative review for my recent order."
"The tutorial video is excellent, highly recommend.",Direct,Positive,"Direct positive review for the tutorial video."
"The new app update was marvelous. I only had to wait two hours for a five-minute question.",Sarcasm,Negative,"Sarcasm on the new app update using positive word 'marvelous'."
"I'm so glad I spent money on the website's search feature. It was an outstanding waste of time because it arrived three weeks late.",Sarcasm,Negative,"Sarcasm on the website's search feature using positive word 'outstanding'."
"I would highly recommend the movie. It exceeded my expectations.",Direct,Positive,"Direct positive review for the movie."
"I bought the 'waterproof' website's search feature. It stopped working after the first drop of rain. it's impossible to understand.",Irony,Negative,"Situational Irony involving the website's search feature and a failed expectation."
"The free 'gift' they sent was literally a handful of packing peanuts. How generous!",Irony,Negative,"Irony based on the discrepancy between expectation (a gift) and reality."
"I asked for a quiet room, and they put me next to the construction site. Well, that's just perfect.",Irony,Negative,"Situational irony/sarcasm combined. Expectation vs. reality."
"The customer service is absolutely amazing. A genuinely brilliant purchase.",Direct,Positive,"Direct positive review for customer service."
"The security update was great because it finally allowed a hacker to access my account. The irony!",Irony,Negative,"Tragic/situational irony where the intent (security) produced the opposite result."
"The movie was terrible. I would never purchase this again.",Direct,Negative,"Direct negative review for the movie."
"Oh, superb! Another feature of the hotel room that ensures it's impossible to understand.",Sarcasm,Negative,"Sarcasm on the hotel room using positive word 'superb'."
"I'm so glad I spent money on the delivery guy. It was an absolutely perfect waste of time because they hung up on me.",Sarcasm,Negative,"Sarcasm on the delivery guy using positive word 'absolutely perfect'."
"The 'express' shipping for my software installation took 10 days. The irony!",Irony,Negative,"Situational Irony involving the software installation and a failed expectation."
"Top marks! The website's search feature was intuitive and very easy to navigate.",Direct,Positive,"Direct positive review for the website's search feature."
"I hate the delivery guy. It's the worst product I've ever owned. Total waste.",Direct,Negative,"Direct negative review for the delivery guy."
"I'm so glad I spent money on the software installation. It was a true pleasure waste of time because they charged me twice.",Sarcasm,Negative,"Sarcasm on the software installation using positive word 'a true pleasure'."
"The performance of the tutorial video is fantastic! (It means I lost all my data.)",Sarcasm,Negative,"Sarcasm on the tutorial video using positive word 'fantastic'."
"I would highly recommend the website's search feature. It exceeded my expectations.",Direct,Positive,"Direct positive review for the website's search feature."
"I bought the 'waterproof' movie. It stopped working after the first drop of rain. it crashes every 5 minutes.",Irony,Negative,"Situational Irony involving the movie and a failed expectation."
"The website's search feature was marvelous. I only had to wait two hours for a five-minute question.",Sarcasm,Negative,"Sarcasm on the website's search feature using positive word 'marvelous'."
"I hate the software installation. It's the worst product I've ever owned. Total waste.",Direct,Negative,"Direct negative review for the software installation."
"Top marks! The customer service was intuitive and very easy to navigate.",Direct,Positive,"Direct positive review for customer service."
"The 'express' shipping for my customer service took 10 days. The irony!",Irony,Negative,"Situational Irony involving customer service and a failed expectation."
"Oh, outstanding! Another feature of my new headphones that ensures it's impossible to understand.",Sarcasm,Negative,"Sarcasm on my new headphones using positive word 'outstanding'."
"After using this my recent order, my life has completely changed... for the worse.",Direct,Negative,"Direct negative review for my recent order."
"The tutorial video is absolutely amazing. A genuinely brilliant purchase.",Direct,Positive,"Direct positive review for the tutorial video."
"I'm so glad I spent money on the new app update. It was a perfect waste of time because it crashed constantly.",Sarcasm,Negative,"Sarcasm on the new app update using positive word 'perfect'."
"The performance of the delivery guy is a true pleasure! (It means it broke immediately after opening the box.)",Sarcasm,Negative,"Sarcasm on the delivery guy using positive word 'a true pleasure'."
"The 'express' shipping for my hotel room took 10 days. The irony!",Irony,Negative,"Situational Irony involving the hotel room and a failed expectation."
"I hate the new app update. It's the worst product I've ever owned. Total waste.",Direct,Negative,"Direct negative review for the new app update."
"The hotel room is excellent, highly recommend.",Direct,Positive,"Direct positive review for the hotel room."
"The software installation was marvelous. I only had to wait two hours for a five-minute question.",Sarcasm,Negative,"Sarcasm on the software installation using positive word 'marvelous'."
"The performance of the customer service is a true pleasure! (It means they hung up on me)",Sarcasm,Negative,"Sarcasm on customer service using positive word 'a true pleasure'."
"I bought the 'waterproof' new app update. It stopped working after the first drop of rain. it broke immediately after opening the box.",Irony,Negative,"Situational Irony involving the new app update and a failed expectation."
"I would highly recommend the my recent order. It exceeded my expectations.",Direct,Positive,"Direct positive review for my recent order."
"After using this hotel room, my life has completely changed... for the worse.",Direct,Negative,"Direct negative review for the hotel room."
"I'm so glad I spent money on my new headphones. It was a marvelous waste of time because it crashes every 5 minutes.",Sarcasm,Negative,"Sarcasm on my new headphones using positive word 'marvelous'."
"Oh, superb! Another feature of the tutorial video that ensures it's impossible to understand.",Sarcasm,Negative,"Sarcasm on the tutorial video using positive word 'superb'."
"I bought the 'waterproof' customer service. It stopped working after the first drop of rain. I lost all my data.",Irony,Negative,"Situational Irony involving customer service and a failed expectation."
"The software installation is excellent, highly recommend.",Direct,Positive,"Direct positive review for the software installation."
"The website's search feature was terrible. I would never purchase this again.",Direct,Negative,"Direct negative review for the website's search feature."
"The performance of my new headphones is so generous! (It means it arrived three weeks late.)",Sarcasm,Negative,"Sarcasm on my new headphones using positive word 'so generous'."
"The 'express' shipping for my movie took 10 days. The irony!",Irony,Negative,"Situational Irony involving the movie and a failed expectation."
"The my recent order is absolutely amazing. A genuinely brilliant purchase.",Direct,Positive,"Direct positive review for my recent order."
